bucket_topic_number,bucket_topic,book_topic_number,book_topic
412,"close, close connection, wait connection, client close",2,Network Topologies and Architectures
413,"thermostat, appliance, laptop, console",0,Introduction to Computer Networks
414,"power, power management, electrical power, management",15,Network Management and Troubleshooting
415,"dhts, hash table, distributed hash, distributed hash table",0,Introduction to Computer Networks
416,"gbps, mbps ethernet, mbps, gbps ethernet",8,Ethernet and LAN Technologies
417,"export, export license, license, government",0,Introduction to Computer Networks
418,"point point link, point link, pointtopoint, point",0,Introduction to Computer Networks
419,"error detection, detection correction, error detection correction, correction",11,Firewall and Intrusion Detection Systems
420,"age seq, seq age, seq age seq, age seq age",0,Introduction to Computer Networks
421,"topology, topology shown, topology fig, view example",0,Introduction to Computer Networks
422,"dtrans, dtrans time, dprop, suppose dprop",0,Introduction to Computer Networks
423,"communication channel, underlying channel, channel, assumed error",0,Introduction to Computer Networks
424,"kerberos, needham schroeder, schroeder, needham",0,Introduction to Computer Networks
425,"transit, transit traffic, transit service, balance",16,Quality of Service (QoS)
426,"id sensor, id, sensor, intrusion",11,Firewall and Intrusion Detection Systems
427,"multiplexing demultiplexing, demultiplexing, multiplexing, transportlayer multiplexing demultiplexing",0,Introduction to Computer Networks
428,"time lr, lr, entire packet, bit router",0,Introduction to Computer Networks
429,"saw section, saw section saw, section saw section, section saw",0,Introduction to Computer Networks
430,"shift keying, keying, shift, amplitude",0,Introduction to Computer Networks
431,"socket, network application, socket programming, berkeley",19,Software-Defined Networking (SDN)
432,"msec, second packet, packet msec, spacing",0,Introduction to Computer Networks
433,"come come, come, thing go resigning, thing go",0,Introduction to Computer Networks
434,"wireless, technical challenge, challenge, distinction challenge posed",9,Wireless Networking
435,"buffer, receiver, dedicate, buffering",0,Introduction to Computer Networks
436,"array, state array, state, min",0,Introduction to Computer Networks
437,"hash, hash function, hash hm, creates message",0,Introduction to Computer Networks
438,"case shown, figure case, case shown figure, shown figure case",0,Introduction to Computer Networks
439,"rack, simultaneous flow, host rack, simultaneous",0,Introduction to Computer Networks
440,"learned section, section learned section, section learned, learned section learned",0,Introduction to Computer Networks
441,"network layer ready, layer ready, network layer, ready event",4,Network Layers and the OSI Model
442,"receiver, wait low power, initially receiver, interested knowing number",0,Introduction to Computer Networks
443,"roundabout, car, exit, ramp",0,Introduction to Computer Networks
444,"destination, address destination, destination ip, destination address",5,TCP/IP Protocol Suite
445,"polling, master node, polling protocol, node",0,Introduction to Computer Networks
446,"zigbee, personal area network, personal area, zigbee network",19,Software-Defined Networking (SDN)
447,"isolation, class, isolation class, providing isolation",0,Introduction to Computer Networks
448,"packet loss, loss, packet loss probability, loss probability",0,Introduction to Computer Networks
449,"itu, tor, tor itu, itu tor",0,Introduction to Computer Networks
450,"range, range range, older block range, range negligible",0,Introduction to Computer Networks
451,"packet containing, bit suppose, packet byte, containing",0,Introduction to Computer Networks
452,"sublayer, mac sublayer, mac sublayer protocol, sublayer protocol",0,Introduction to Computer Networks
453,"peering, relationship, advertisement, peering relationship",0,Introduction to Computer Networks
454,"aloha, slotted, slotted aloha, aloha protocol",0,Introduction to Computer Networks
455,"metcalfe, boggs, metcalfe boggs, network metcalfe boggs",19,Software-Defined Networking (SDN)
456,"mapping, possible mapping, mapping possible mapping, mapping possible",0,Introduction to Computer Networks
457,"reverse path forwarding, reverse path, path forwarding, reverse",13,Network Routing and Switching
458,"context switch, kernel, context, receiving process",4,Network Layers and the OSI Model
459,"drop packet, router drop packet, router drop, drop",0,Introduction to Computer Networks
460,"ascii, character, ascii representation, letter uppercase",0,Introduction to Computer Networks
461,"format, output format, output format long, format long unambiguous",0,Introduction to Computer Networks
462,"pp, pp architecture, architecture, minimal reliance",2,Network Topologies and Architectures
463,"rtp, rtp stream, stream, audio video",0,Introduction to Computer Networks
464,"adapter, aging time, address fefa, fefa",0,Introduction to Computer Networks
465,"cell, frequency, neighboring cell, frequency reused",0,Introduction to Computer Networks
466,"server executes, executes, listen, establish connection",2,Network Topologies and Architectures
467,"common factor, number chosen, force suitable value, suitable value common",0,Introduction to Computer Networks
468,"wave, earth, band, lf mf band",0,Introduction to Computer Networks
469,"hop, metric, distance hop, execution instance",0,Introduction to Computer Networks
470,"blocked, traffic blocked, network allowed, host traffic",16,Quality of Service (QoS)
471,"movie, metafile, linked, step",0,Introduction to Computer Networks
472,"scenario, scenario shown figure, scenario shown, shown figure scenario",0,Introduction to Computer Networks
473,"broadcast, broadcast lan, connected broadcast, broadcast link",8,Ethernet and LAN Technologies
474,"region, hierarchy, cluster, hierarchical routing",13,Network Routing and Switching
475,"packet size, overhead, small packet, small packet size",0,Introduction to Computer Networks
476,"routing table, initial routing table, initial routing, table",13,Network Routing and Switching
477,"router router, packet source, packet make, hop",0,Introduction to Computer Networks
478,"multimedia, multimedia networking, networking, support multimedia",24,Emerging Trends in Networking
479,"knapsack, weight, object, algorithm knapsack algorithm",0,Introduction to Computer Networks
480,"index, index distributed, distributed, peer",2,Network Topologies and Architectures
481,"city, philadelphia, toronto hong kong, toronto hong",0,Introduction to Computer Networks
482,"error, error correcting code, correcting code, error correcting",0,Introduction to Computer Networks
483,"mechanism, studied section, machinery resolution, mechanism driven need",7,DNS (Domain Name System)
484,"symbol, volt, represent bit, volt represent",0,Introduction to Computer Networks
485,"movie, music, movie rental, sharing",0,Introduction to Computer Networks
486,"turn, processed turn wrong, problem way dealing, unecessary",0,Introduction to Computer Networks
